Região Geográfica Intermediária,Nome Região Geográfica Intermediária,Região Geográfica Imediata,Nome Região Geográfica Imediata,municipios,cod_ibge,reg_administrativa,reg_metropolitanas,Furto veiculo 2016,Furto outros 2016,Homicidio culposo outros 2016,Homicidio culposo por acidente 2016,Latrocinio 2016,Lesao culposa outros 2016,Lesao culposa acidente 2016,Lesao dolosa 2016,Vitimas homicidio 2016,Tentativa homicidio 2016,Total estupro 2016,Total roubos 2016,Populacao 2016,Indice Criminalidade
3510,Campinas,350039,Jundiaí,Louveira,3527306,RA de Campinas,RM de Jundiai,37,337,0,6,0,12,122,148,1,6,11,115,44296.0,0.00044981657316856883
3510,Campinas,350043,Mogi Guaçu,Mogi Guacu,3530706,RA de Campinas,Demais municípios,473,1738,1,26,1,6,735,524,6,10,47,671,146270.0,0.0006622351464082511
3510,Campinas,350043,Mogi Guaçu,Mogi Mirim,3530805,RA de Campinas,Demais municípios,271,1126,1,9,2,3,488,377,4,8,12,360,90313.0,0.0006526641341119876
3510,Campinas,350048,Amparo,Monte Alegre do Sul,3531209,RA de Campinas,Demais municípios,4,42,0,0,0,0,6,29,1,0,1,4,7936.0,0.0002946901888434147
3510,Campinas,350039,Jundiaí,Morungaba,3532009,RA de Campinas,RM de Campinas,8,107,0,4,0,1,19,33,0,1,2,14,12811.0,0.00035028588615349996
3510,Campinas,350041,Bragança Paulista,Nazare Paulista,3532405,RA de Campinas,Demais municípios,16,202,0,2,0,0,30,70,3,1,13,39,17439.0,0.0006016118178512812
3510,Campinas,350038,Campinas,Paulinia,3536505,RA de Campinas,RM de Campinas,217,1315,0,10,0,4,322,417,10,8,22,378,96226.0,0.0006285672841489358
3510,Campinas,350041,Bragança Paulista,Pedra Bela,3536802,RA de Campinas,Demais municípios,2,54,0,2,0,0,5,21,1,0,2,3,6151.0,0.0004081433117362235
3510,Campinas,350038,Campinas,Pedreira,3537107,RA de Campinas,RM de Campinas,140,338,1,4,0,20,169,296,2,3,7,103,42517.0,0.000641501641101801
3510,Campinas,350041,Bragança Paulista,Pinhalzinho,3538204,RA de Campinas,Demais municípios,8,93,0,4,0,1,17,41,1,2,3,11,14199.0,0.0003491121175465143
3510,Campinas,350041,Bragança Paulista,Piracaia,3538600,RA de Campinas,Demais municípios,20,255,0,6,0,0,39,93,0,2,8,36,25686.0,0.00043948887676988595
3510,Campinas,350038,Campinas,Santo Antonio de Posse,3548005,RA de Campinas,RM de Campinas,33,164,0,1,0,1,53,83,2,4,7,26,21985.0,0.00045571894559840885
3510,Campinas,350048,Amparo,Serra Negra,3551603,RA de Campinas,Demais municípios,42,272,0,5,0,0,92,139,2,2,12,26,28307.0,0.0005635019235895344
3510,Campinas,350041,Bragança Paulista,Socorro,3552106,RA de Campinas,Demais municípios,38,316,1,2,0,0,111,123,2,2,7,24,38575.0,0.000396725762895562
3510,Campinas,350041,Bragança Paulista,Tuiuti,3554953,RA de Campinas,Demais municípios,1,67,0,2,0,0,8,33,0,3,1,2,6420.0,0.00048300609048272604
3510,Campinas,350038,Campinas,Valinhos,3556206,RA de Campinas,RM de Campinas,192,870,0,12,0,1,405,440,1,5,28,211,116997.0,0.00045774204085955675
3510,Campinas,350041,Bragança Paulista,Vargem,3556354,RA de Campinas,Demais municípios,4,94,0,1,0,0,6,39,0,4,5,18,9645.0,0.0004894017335696964
3510,Campinas,350039,Jundiaí,Varzea Paulista,3556503,RA de Campinas,RM de Jundiai,304,816,1,3,0,14,326,405,13,15,22,537,112738.0,0.0005150697375146985
3510,Campinas,350038,Campinas,Vinhedo,3556701,RA de Campinas,RM de Campinas,68,698,0,5,1,1,245,245,1,2,14,144,70358.0,0.0004696119707916519
