Região Geográfica Intermediária,Nome Região Geográfica Intermediária,Região Geográfica Imediata,Nome Região Geográfica Imediata,municipios,cod_ibge,reg_administrativa,reg_metropolitanas,Furto veiculo 2016,Furto outros 2016,Homicidio culposo outros 2016,Homicidio culposo por acidente 2016,Latrocinio 2016,Lesao culposa outros 2016,Lesao culposa acidente 2016,Lesao dolosa 2016,Vitimas homicidio 2016,Tentativa homicidio 2016,Total estupro 2016,Total roubos 2016,Populacao 2016,Indice Criminalidade
3510,Campinas,350048,Amparo,Aguas de Lindoia,3500501,RA de Campinas,Demais municípios,35,112,0,2,0,0,24,90,1,3,5,20,17753.0,0.0004524850466381476
3510,Campinas,350048,Amparo,Amparo,3501905,RA de Campinas,Demais municípios,46,648,2,17,0,0,352,259,2,3,16,64,67300.0,0.0005352745323027642
3510,Campinas,350041,Bragança Paulista,Atibaia,3504107,RA de Campinas,Demais municípios,302,1805,0,21,0,0,653,643,12,13,57,625,143086.0,0.0006924431536203477
3510,Campinas,350041,Bragança Paulista,Bom Jesus dos Perdoes,3507100,RA de Campinas,Demais municípios,20,221,0,4,0,2,48,84,1,3,5,44,20859.0,0.0005017754190773033
3510,Campinas,350041,Bragança Paulista,Braganca Paulista,3507605,RA de Campinas,Demais municípios,188,2099,0,15,3,16,555,749,7,13,36,392,162244.0,0.0005809136254638092
3510,Campinas,350039,Jundiaí,Cabreuva,3508405,RA de Campinas,RM de Jundiai,17,320,1,5,0,7,46,164,3,5,17,104,44378.0,0.0004259339740884651
3510,Campinas,350038,Campinas,Campinas,3509502,RA de Campinas,RM de Campinas,4027,17440,4,111,6,186,2905,3955,119,91,276,9451,1116727.0,0.000709133111233177
3510,Campinas,350039,Jundiaí,Campo Limpo Paulista,3509601,RA de Campinas,RM de Jundiai,212,645,1,11,1,5,283,361,3,4,20,391,76699.0,0.0006045141966079659
3510,Campinas,350043,Mogi Guaçu,Estiva Gerbi,3557303,RA de Campinas,Demais municípios,18,113,0,1,0,0,23,65,0,2,6,13,10681.0,0.0006129064269687807
3510,Campinas,350038,Campinas,Holambra,3519055,RA de Campinas,RM de Campinas,9,83,0,0,0,1,41,47,0,3,2,14,13141.0,0.00039166373539708914
3510,Campinas,350038,Campinas,Indaiatuba,3520509,RA de Campinas,RM de Campinas,222,1743,0,14,0,53,332,703,5,11,58,627,228645.0,0.00039136878341759274
3510,Campinas,350043,Mogi Guaçu,Itapira,3522604,RA de Campinas,Demais municípios,113,505,1,13,0,3,280,324,5,3,22,202,70625.0,0.0005515900029174365
3510,Campinas,350039,Jundiaí,Itatiba,3523404,RA de Campinas,RM de Campinas,236,1345,1,13,4,3,341,282,4,8,31,447,112037.0,0.0005319350178637736
3510,Campinas,350039,Jundiaí,Itupeva,3524006,RA de Campinas,RM de Jundiai,66,657,0,4,1,8,118,150,3,8,24,208,57782.0,0.0005070039855959347
3510,Campinas,350038,Campinas,Jaguariuna,3524709,RA de Campinas,RM de Campinas,123,593,0,7,0,0,295,162,2,3,8,114,51822.0,0.0005657959808706597
3510,Campinas,350039,Jundiaí,Jarinu,3525201,RA de Campinas,RM de Jundiai,47,287,1,2,0,3,40,92,3,2,8,96,30719.0,0.00043967881462591586
3510,Campinas,350041,Bragança Paulista,Joanopolis,3525508,RA de Campinas,Demais municípios,8,106,0,2,1,0,13,62,1,2,2,9,12348.0,0.0004505536575507422
3510,Campinas,350039,Jundiaí,Jundiai,3525904,RA de Campinas,RM de Jundiai,829,5015,5,60,3,49,953,1000,23,36,69,2377,406849.0,0.0005298511992641756
3510,Campinas,350048,Amparo,Lindoia,3527009,RA de Campinas,Demais municípios,4,70,0,3,0,2,16,28,0,0,3,6,6907.0,0.0005117222432989046
