Região Geográfica Intermediária,Nome Região Geográfica Intermediária,Região Geográfica Imediata,Nome Região Geográfica Imediata,municipios,cod_ibge,reg_administrativa,reg_metropolitanas,Furto veiculo 2020,Furto outros 2020,Homicidio culposo outros 2020,Homicidio culposo por acidente 2020,Latrocinio 2020,Lesao culposa outros 2020,Lesao culposa acidente 2020,Lesao dolosa 2020,Vitimas homicidio 2020,Tentativa homicidio 2020,Total estupro 2020,Total roubos 2020,Populacao 2020,Indice Criminalidade
3510,Campinas,350041,Bragança Paulista,Pedra Bela,3536802,RA de Campinas,Demais municípios,3,32,0,0,0,0,7,15,0,1,1,1,6428.0,0.00024120248140161027
3510,Campinas,350038,Campinas,Pedreira,3537107,RA de Campinas,RM de Campinas,88,131,0,1,1,3,14,131,0,2,3,34,43036.0,0.00023289750494881088
3510,Campinas,350041,Bragança Paulista,Pinhalzinho,3538204,RA de Campinas,Demais municípios,10,76,0,3,0,0,22,34,3,0,0,5,14961.0,0.00026956533874520646
3510,Campinas,350041,Bragança Paulista,Piracaia,3538600,RA de Campinas,Demais municípios,17,143,1,1,0,0,27,50,5,2,8,18,26049.0,0.0003082640419966229
3510,Campinas,350038,Campinas,Santo Antonio de Posse,3548005,RA de Campinas,RM de Campinas,19,115,0,7,0,0,28,70,0,0,4,20,22877.0,0.0003066392015992051
3510,Campinas,350048,Amparo,Serra Negra,3551603,RA de Campinas,Demais municípios,15,145,0,0,0,2,52,104,1,1,10,10,29483.0,0.00033914462568263075
3510,Campinas,350041,Bragança Paulista,Socorro,3552106,RA de Campinas,Demais municípios,14,129,0,8,1,3,45,109,3,0,13,17,39755.0,0.0002937824343936783
3510,Campinas,350041,Bragança Paulista,Tuiuti,3554953,RA de Campinas,Demais municípios,0,54,0,1,0,0,2,17,0,0,1,0,6686.0,0.0002577440507443499
3510,Campinas,350038,Campinas,Valinhos,3556206,RA de Campinas,RM de Campinas,193,556,0,9,0,3,292,317,3,4,21,128,123605.0,0.0003129591576660871
3510,Campinas,350041,Bragança Paulista,Vargem,3556354,RA de Campinas,Demais municípios,6,66,0,3,0,0,3,27,1,1,1,10,10246.0,0.0002943572141307843
3510,Campinas,350039,Jundiaí,Varzea Paulista,3556503,RA de Campinas,RM de Jundiai,128,623,0,3,0,9,94,248,8,5,37,299,115097.0,0.00032174572779453884
3510,Campinas,350038,Campinas,Vinhedo,3556701,RA de Campinas,RM de Campinas,49,380,0,4,1,2,129,179,0,6,17,66,74679.0,0.0002932966014956937
